[1]START_OBS [2]DOSIMETRY_B_OBS [3]DOSIMETRY_B_DATA [4]DOSIMETRY_E_OBS [5]DOSIMETRY_E_DATA 
01:54:12 264 14.71155 264 14.23031
02:11:15 267 14.89060 267 14.28544
02:28:19 268 14.48100 268 13.96302
02:45:22 270 14.61617 270 13.79758
03:02:25 272 14.26273 272 13.75709
03:19:31 274 13.34377 274 13.75074
03:36:37 276 14.25370 276 13.57155
03:53:43 278 14.31177 278 13.46441
04:02:49 280 14.20520 280 13.53789
04:19:55 282 13.98054 282 13.58776
04:37:01 284 13.62454 284 13.24436
04:54:07 286 13.07466 286 13.42299
05:11:13 288 13.75240 288 13.32127
