[1]START_OBS [2]DOSIMETRY_B_OBS [3]DOSIMETRY_B_DATA [4]DOSIMETRY_E_OBS [5]DOSIMETRY_E_DATA 
04:42:10 00 24.04096 00 23.75843
04:51:18 02 23.18475 02 23.24451
05:00:26 04 24.59437 04 23.16718
05:09:34 06 24.98735 06 23.75634
05:18:42 08 23.55952 08 23.56154
05:27:49 10 23.87791 10 23.18741
05:36:56 12 24.69318 12 22.82439
05:46:04 14 23.56276 14 23.05212
05:55:12 16 23.43702 16 23.24934
06:04:20 18 24.29052 18 23.38014
06:13:28 20 24.32752 20 23.41326
06:22:36 23 23.38885 23 23.61905
06:31:11 24 23.18951 24 23.22043
06:40:19 26 25.52389 26 23.18225
06:49:26 29 23.76043 29 23.19970
06:58:27 30 23.88484 30 22.90807
07:07:35 32 23.41255 32 22.91965
07:16:43 34 24.89631 34 23.10724
07:25:51 36 23.40854 36 22.62044
07:34:59 38 23.07018 38 23.14572
13:09:52 40 10.85344 40 10.87694
07:54:11 42 23.91992 42 21.91016
08:03:17 44 23.75319 44 21.72170
08:12:23 46 22.69027 46 21.43757
08:21:29 48 23.17932 48 21.56196
08:30:37 50 22.11393 50 21.42826
08:39:45 52 22.10076 52 21.27838
08:48:53 54 21.78044 54 21.41647
08:58:01 56 21.55226 56 21.03474
09:07:09 59 21.19258 59 20.79498
09:15:47 60 22.25307 60 21.24805
09:24:55 62 22.54662 62 20.88884
09:34:03 64 23.12854 64 20.59531
09:43:11 66 21.74168 66 20.68172
09:52:19 69 20.79957 69 20.34411
10:01:19 70 20.85963 70 20.12461
10:10:26 73 21.49980 73 19.98147
10:19:31 74 20.12929 74 19.92476
10:28:38 76 20.53101 76 20.13811
10:37:45 79 19.83252 79 19.92065
10:46:45 80 20.65204 80 19.89872
10:55:50 83 20.18986 83 19.48606
16:32:57 84 14.23928 84 13.80221
11:13:44 86 19.72887 86 18.88108
11:22:45 88 19.48112 88 19.21186
11:31:46 91 20.15433 91 19.41236
11:40:47 92 20.55024 92 19.01547
11:49:49 94 20.09893 94 18.85411
11:58:52 96 19.00790 96 18.93213
12:07:55 98 18.85376 98 18.42970
12:17:01 100 19.43010 100 18.39731
12:26:07 103 19.21666 103 18.43981
12:35:05 104 20.22805 104 18.39729
12:44:11 106 19.19007 106 18.47881
12:53:17 108 18.98523 108 18.35399
13:02:15 110 19.74089 110 18.47108
13:11:21 113 19.47816 113 18.19508
13:20:23 114 18.16782 114 18.00841
13:29:29 116 19.54767 116 18.15163
13:38:35 118 20.09677 118 18.44108
13:47:41 120 18.65961 120 18.03703
13:56:48 123 19.74397 123 17.92912
14:05:16 124 18.47807 124 18.34947
14:14:20 126 19.80972 126 17.90634
14:23:23 128 19.81763 128 17.88763
14:32:27 130 20.10393 130 17.64938
14:41:31 132 18.08070 132 17.66782
14:50:35 134 18.82520 134 17.71067
14:59:29 137 18.09106 137 17.47203
15:08:31 138 19.97450 138 17.88297
15:17:35 140 18.10294 140 17.54298
15:26:39 143 18.79960 143 17.85631
15:35:36 144 17.84512 144 17.36838
15:44:39 147 18.44321 147 17.80494
15:53:39 148 17.63407 148 17.60882
16:02:43 150 18.62103 150 17.64997
16:11:47 152 17.24440 152 17.40813
16:20:51 154 17.33737 154 17.45667
16:29:55 156 17.93834 156 17.62526
16:38:59 158 18.48782 158 17.65534
16:48:05 160 17.63442 160 17.51653
16:57:04 162 19.11138 162 17.28417
17:06:07 164 18.58350 164 17.41359
17:25:03 166 17.98599 166 16.85273
17:34:06 168 17.79070 168 17.28614
17:43:10 170 18.32011 170 17.05404
17:52:14 172 18.32887 172 16.85318
18:01:17 174 19.06131 174 17.33961
18:10:23 176 18.37663 176 17.46677
18:19:29 178 19.01027 178 16.98575
18:28:35 180 17.45522 180 16.38632
18:37:30 183 17.84608 183 16.61332
18:46:35 184 18.02421 184 16.71196
18:55:41 186 17.79122 186 16.93717
19:04:47 189 17.88238 189 16.90524
19:13:42 190 17.57921 190 16.34243
19:22:48 192 17.46674 192 16.48745
19:31:54 194 18.80102 194 16.21726
19:41:00 196 17.12912 196 16.49744
19:50:06 198 17.33696 198 16.30061
19:59:12 201 17.89809 201 16.02510
20:08:03 202 16.81590 202 16.27553
20:17:09 204 16.41437 204 16.37206
20:26:15 206 16.34798 206 16.01340
20:35:21 208 17.40997 208 16.27684
20:44:27 210 16.57146 210 16.32346
20:53:33 212 16.49105 212 15.82674
21:02:39 214 16.28343 214 16.04972
21:11:45 216 16.52112 216 15.54607
21:20:51 218 18.00084 218 16.04391
21:29:57 220 17.67251 220 15.94860
21:47:03 222 16.57313 222 15.54172
21:55:48 225 16.26565 225 15.48761
22:04:51 226 16.49746 226 15.77187
22:13:56 228 15.61398 228 15.57989
22:31:01 230 16.01494 230 15.27529
22:40:07 232 15.68928 232 15.22212
22:49:13 234 16.53414 234 15.50574
22:58:19 236 15.69470 236 15.09477
23:07:25 238 15.15470 238 15.28581
23:14:58 240 16.51238 240 15.13714
23:24:01 242 14.73075 242 15.00785
23:33:07 244 15.81518 244 14.99053
23:41:56 247 16.04300 247 14.82030
23:59:00 249 15.95132 249 14.72845
05:29:45 250 5.37520 250 4.97001
00:19:57 253 15.33060 253 14.55153
00:37:02 255 14.65955 255 14.72871
00:54:05 257 14.97412 257 14.55804
01:11:07 259 14.52573 259 14.41683
01:28:08 260 14.41694 260 13.98894
01:37:09 262 13.80834 262 14.12107
